Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2026,South Africa,South Korea,2026-06-25,02:00:00,1,0,0,0,1,0,,,,,90 minutes,13,8,4,3,7,9,4,6,1,1,0,0,1.16,0.91,5.25,3.75,1.67,5.8,3.8,1.76,6.0,3.75,1.7,5.42,3.64,1.66,0.17378999321222718,0.25877520967315143,0.5674347971146214
World Cup 2026,Curaçao,Ivory Coast,2026-06-25,21:00:00,0,2,0,1,0,1,,,,,90 minutes,11,7,2,3,11,6,4,6,2,1,0,0,0.5,1.31,15.0,8.0,1.17,18.5,8.6,1.2,19.0,8.25,1.19,16.09,7.72,1.16,0.05898004668243823,0.1229260299378797,0.8180939233796821
World Cup 2026,Ecuador,Germany,2026-06-25,21:00:00,2,1,1,1,1,0,,,,,90 minutes,7,11,3,3,15,10,3,2,3,1,0,0,1.27,0.65,4.33,4.2,1.7,4.6,4.5,1.77,4.7,4.33,1.75,4.25,4.14,1.71,0.2216336536023217,0.22752247048547522,0.5508438759122031
World Cup 2026,Japan,Sweden,2026-06-26,00:00:00,1,1,0,0,1,1,,,,,90 minutes,8,11,3,5,20,11,2,8,1,2,0,0,1.21,0.64,2.4,3.2,3.1,2.4,3.5,3.3,2.4,3.6,3.4,2.26,3.35,3.13,0.41724531740568166,0.28148490069756427,0.30126978189675413
World Cup 2026,Tunisia,Netherlands,2026-06-26,00:00:00,1,3,0,2,1,1,,,,,90 minutes,10,20,4,7,11,10,4,6,0,0,0,0,0.62,1.84,21.0,8.0,1.14,25.0,11.0,1.14,21.0,12.0,1.17,16.63,8.56,1.14,0.05704351567258668,0.11082168991064444,0.8321347944167689
World Cup 2026,Paraguay,Australia,2026-06-26,03:00:00,0,0,0,0,0,0,,,,,90 minutes,7,12,2,5,9,6,1,3,1,1,0,0,0.24,0.55,2.55,2.4,4.1,2.64,2.5,4.4,2.63,2.45,4.33,2.52,2.34,4.1,0.3715321343928621,0.40011152934615923,0.2283563362609787
World Cup 2026,Turkey,United States,2026-06-26,03:00:00,3,2,2,1,1,1,,,,,90 minutes,9,18,3,7,13,13,2,9,0,1,0,0,3.0,2.12,3.2,4.0,2.05,3.25,4.1,2.2,3.6,4.0,2.1,3.22,3.81,2.04,0.29209226814584316,0.24686013213375724,0.46104759972039955
World Cup 2026,Norway,France,2026-06-26,20:00:00,1,4,1,3,0,1,,,,,90 minutes,10,18,4,9,9,11,4,5,1,1,0,0,1.7,1.5,7.0,5.5,1.36,8.2,6.0,1.39,8.0,6.0,1.4,7.02,5.44,1.36,0.13418845584607797,0.1731623088307844,0.6926492353231376
World Cup 2026,Senegal,Iraq,2026-06-26,20:00:00,5,0,1,0,4,0,,,,,90 minutes,28,6,12,1,10,11,12,3,2,2,0,1,3.01,0.14,1.2,7.0,12.0,1.23,8.0,14.5,1.23,7.5,15.0,1.2,6.88,13.06,0.7897008985698817,0.1377385288203282,0.07256057260979004
World Cup 2026,Cape Verde,Saudi Arabia,2026-06-27,01:00:00,0,0,0,0,0,0,,,,,90 minutes,15,7,2,3,10,16,4,2,1,3,0,0,1.39,0.39,2.5,3.3,2.88,2.7,3.6,2.8,2.74,3.5,2.88,2.55,3.29,2.72,0.3686532670355067,0.28573429511870574,0.34561243784578743
World Cup 2026,Uruguay,Spain,2026-06-27,01:00:00,0,1,0,1,0,0,,,,,90 minutes,5,6,1,1,14,14,1,6,3,1,1,0,0.2,0.86,6.0,3.6,1.65,6.4,3.75,1.71,6.25,3.75,1.7,5.65,3.59,1.65,0.16672061244881015,0.26238759340829454,0.5708917941428954
World Cup 2026,Egypt,Iran,2026-06-27,04:00:00,1,1,1,1,0,0,,,,,90 minutes,15,13,3,4,11,16,8,2,3,4,0,0,0.84,1.97,2.63,2.63,3.4,2.68,2.82,3.65,2.7,2.8,3.66,2.58,2.64,3.38,0.36488542126699053,0.35659257078364986,0.27852200794935966
